customer,invoice_id,invoice_number,invoice_date,service_date,product_service,qbo_item,description,ship_date,ship_via,item,item_original,qty,uom,unit_price,line_amount,invoice_total,invoice_balance,pdf_path
Rochester Iron & Metal,8763,3342,2024-06-25,2024-06-25,Ferrous Sale,Ferrous Sale,Unclean Motors and heavy torching,2024-06-25,,Electric Motors / Torch Cut HMS,Unclean Motors and heavy torching,33920,,0.1186704,4025.3,4025.3,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8763.pdf
Rochester Iron & Metal,8760,3339,2024-06-25,2024-06-25,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-06-25,,Clips,Mixed Clips,25430,,0.125,3178.75,4002.85,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8760.pdf
Rochester Iron & Metal,8760,3339,2024-06-25,2024-10-28,Ferrous Sale,Ferrous Sale,clips,2024-06-25,,Clips,clips,1,,824.1,824.1,4002.85,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8760.pdf
Rochester Iron & Metal,8779,3352,2024-06-27,2024-06-27,Non-Ferrous Sale,Non-Ferrous Sale,SS Bkg,2024-06-27,,Stainless Breakage,SS Bkg,10180,,0.24,2443.2,2443.2,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8779.pdf
Rochester Iron & Metal,8928,3393,2024-07-15,2024-07-15,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-07-15,,Clips,Mixed Clips,26940,,0.14,3771.6,3771.6,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8928.pdf
Rochester Iron & Metal,8953,3399,2024-07-16,2024-07-16,Ferrous Sale,Ferrous Sale,Clean sheet,2024-07-16,Kinsman,Old Sheet Aluminum,Clean sheet,41080,,0.125,5135.0,5135.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8953.pdf
Rochester Iron & Metal,8963,3405,2024-07-17,2024-07-17,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-07-17,,Clips,Mixed Clips,22880,,0.11,2516.8,2516.8,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8963.pdf
Rochester Iron & Metal,8957,3401,2024-07-17,2024-07-17,Ferrous Sale,Ferrous Sale,Heavy Unppd,2024-07-17,,Unprepared HMS (Heavy),Heavy Unppd,53420,,0.085,4540.7,4540.7,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8957.pdf
Rochester Iron & Metal,8972,3413,2024-07-18,2024-07-19,Non-Ferrous Sale,Non-Ferrous Sale,Aluminum Bkg - 5 skids,2024-07-19,RIM,Al Breakage,Aluminum Bkg - 5 skids,5720,,0.28,1601.6,2026.75,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8972.pdf
Rochester Iron & Metal,8972,3413,2024-07-18,2024-07-19,Non-Ferrous Sale,Non-Ferrous Sale,Welding wire - 5 drums,2024-07-19,RIM,Wire Scrap (Fe Weld Wire),Welding wire - 5 drums,3865,,0.11,425.15,2026.75,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8972.pdf
