"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"02/05/2024","Invoice","2966","Oscar Winski Company","03/06/2024","$0.00","$2,287.49","","Mar 8, 2024, 9:57 AM",
"01/11/2024","Invoice","2916","Oscar Winski Company","02/10/2024","$0.00","$3,105.81","","Feb 8, 2024, 10:06 AM",
"01/10/2024","Payment","159468","Oscar Winski Company","","$0.00","$13,721.00","","Jan 10, 2024, 9:27 AM",
"01/10/2024","Invoice","2910","Oscar Winski Company","02/09/2024","$0.00","$4,893.75","","Feb 8, 2024, 10:06 AM",
"01/10/2024","Deposit","","","","$0.00","$31,412.05","","Sep 11, 2024, 10:20 AM",
"12/15/2023","Invoice","2864","Oscar Winski Company","01/14/2024","$0.00","$4,632.57","","Jan 10, 2024, 9:27 AM",
"12/11/2023","Invoice","2855","Oscar Winski Company","01/10/2024","$0.00","$5,351.81","","Jan 10, 2024, 9:27 AM",
"12/08/2023","Payment","159317","Oscar Winski Company","","$0.00","$8,147.16","","Dec 8, 2023, 10:07 AM",
"12/08/2023","Deposit","","","","$0.00","$10,487.86","","Dec 8, 2023, 10:16 AM",
"12/04/2023","Invoice","2832","Oscar Winski Company","01/03/2024","$0.00","$3,736.62","","Jan 10, 2024, 9:27 AM",
"11/15/2023","Invoice","2789","Oscar Winski Company","12/15/2023","$0.00","$2,267.34","","Dec 8, 2023, 10:07 AM",
"11/10/2023","Invoice","2780","Oscar Winski Company","12/10/2023","$0.00","$5,879.82","","Dec 8, 2023, 10:07 AM",
"11/06/2023","Payment","159176","Oscar Winski Company","","$0.00","$13,812.00","","Nov 6, 2023, 9:58 AM",
"11/06/2023","Invoice","2760","Oscar Winski Company","12/06/2023","$0.00","$1,174.98","","Nov 6, 2023, 9:58 AM",
"11/06/2023","Deposit","","","","$0.00","$14,181.00","","Nov 6, 2023, 10:01 AM",
"10/16/2023","Invoice","2704","Oscar Winski Company","11/15/2023","$0.00","$3,202.66","","Nov 6, 2023, 9:58 AM",
"10/10/2023","Payment","158893","Oscar Winski Company","","$0.00","$7,365.65","","Oct 10, 2023, 10:47 AM",
"10/10/2023","Invoice","2691","Oscar Winski Company","11/09/2023","$0.00","$2,868.74","","Nov 6, 2023, 9:58 AM",
"10/10/2023","Deposit","","","","$0.00","$12,148.32","","Oct 10, 2023, 10:51 AM",
"10/03/2023","Invoice","2680","Oscar Winski Company","11/02/2023","$0.00","$6,565.62","","Nov 6, 2023, 9:58 AM",
"09/26/2023","Invoice","2656","Oscar Winski Company","10/26/2023","$0.00","$2,800.00","","Oct 10, 2023, 10:47 AM",
"09/18/2023","Invoice","2635","Oscar Winski Company","10/18/2023","$0.00","$2,121.88","","Oct 10, 2023, 10:47 AM",
"09/11/2023","Payment","158855","Oscar Winski Company","","$0.00","$21,261.94","","Sep 11, 2023, 8:13 AM",
"09/11/2023","Deposit","","","","$0.00","$24,685.97","","Sep 11, 2023, 9:49 AM",
"09/06/2023","Invoice","2616","Oscar Winski Company","10/06/2023","$0.00","$1,078.14","","Oct 10, 2023, 10:47 AM",
"09/06/2023","Invoice","2613","Oscar Winski Company","10/06/2023","$0.00","$1,365.63","","Oct 10, 2023, 10:47 AM",
"08/30/2023","Invoice","2591","Oscar Winski Company","09/29/2023","$0.00","$2,778.75","","Sep 11, 2023, 8:13 AM",
"08/24/2023","Invoice","2567","Oscar Winski Company","09/23/2023","$0.00","$4,979.48","","Sep 11, 2023, 8:13 AM",
"08/21/2023","Invoice","2559","Oscar Winski Company","09/20/2023","$0.00","$3,255.80","","Sep 11, 2023, 8:13 AM",
"08/21/2023","Invoice","2557","Oscar Winski Company","09/20/2023","$0.00","$2,928.47","","Sep 11, 2023, 8:13 AM",
"08/08/2023","Invoice","2528","Oscar Winski Company","09/07/2023","$0.00","$3,381.14","","Sep 11, 2023, 8:13 AM",
"08/07/2023","Payment","","Oscar Winski Company","","$0.00","$5,028.23","","Aug 10, 2023, 11:08 AM",
"08/07/2023","Deposit","","","","$0.00","$8,576.88","","Aug 7, 2023, 2:17 PM",
"08/02/2023","Invoice","2516","Oscar Winski Company","09/01/2023","$0.00","$3,938.30","","Sep 11, 2023, 8:13 AM",
"07/28/2023","Invoice","2493","Oscar Winski Company","08/27/2023","$0.00","$5,028.23","","Aug 10, 2023, 11:08 AM",
"07/14/2023","Payment","158529","Oscar Winski Company","","$0.00","$28,224.03","","Jul 14, 2023, 10:10 AM",
"07/14/2023","Deposit","","","","$0.00","$28,579.03","","Jul 14, 2023, 10:39 AM",
"06/28/2023","Invoice","2425","Oscar Winski Company","07/28/2023","$0.00","$6,427.51","","Jul 28, 2023, 8:35 AM",
"06/27/2023","Invoice","2418","Oscar Winski Company","07/27/2023","$0.00","$5,617.50","","Jul 14, 2023, 10:10 AM",
"06/23/2023","Invoice","2414","Oscar Winski Company","07/23/2023","$0.00","$5,696.25","","Jul 14, 2023, 10:10 AM",
"06/14/2023","Invoice","2388","Oscar Winski Company","07/14/2023","$0.00","$2,677.50","","Jul 14, 2023, 10:10 AM",
"06/09/2023","Invoice","2382","Oscar Winski Company","07/09/2023","$0.00","$3,278.75","","Jul 14, 2023, 10:10 AM",
"06/09/2023","Payment","158355","Oscar Winski Company","","$0.00","$8,533.04","","Jun 9, 2023, 9:50 AM",
"06/09/2023","Deposit","","","","$0.00","$10,699.20","","Jun 9, 2023, 10:41 AM",
"06/06/2023","Invoice","2370","Oscar Winski Company","07/06/2023","$0.00","$4,526.52","","Jul 14, 2023, 10:10 AM",
"05/08/2023","Deposit","","Oscar Winski Company","","$0.00","$30,933.04","","May 8, 2023, 10:57 AM",
"05/08/2023","Payment","158206","Oscar Winski Company","","$0.00","$30,933.04","","May 8, 2023, 10:57 AM",
"05/03/2023","Invoice","2283","Oscar Winski Company","06/02/2023","$0.00","$8,533.04","","Jun 9, 2023, 9:50 AM",
"04/28/2023","Invoice","2275","Oscar Winski Company","05/28/2023","$0.00","$3,787.63","","May 8, 2023, 10:57 AM",
"04/17/2023","Invoice","2227","Oscar Winski Company","05/17/2023","$0.00","$4,905.80","","May 8, 2023, 10:57 AM",
"04/11/2023","Invoice","2212","Oscar Winski Company","05/11/2023","$0.00","$8,618.30","","May 8, 2023, 10:57 AM",
"04/10/2023","Payment","157888","Oscar Winski Company","","$0.00","$3,756.70","","Apr 10, 2023, 10:22 AM",
"04/10/2023","Payment","157888","Oscar Winski Company","","$0.00","$4,508.01","","Apr 10, 2023, 10:21 AM",
"04/10/2023","Payment","157888","Oscar Winski Company","","$0.00","$3,774.38","","Apr 10, 2023, 10:19 AM",
"04/10/2023","Deposit","","","","$0.00","$23,981.52","","Apr 10, 2023, 12:27 PM",
"04/07/2023","Invoice","2206","Oscar Winski Company","05/07/2023","$0.00","$8,233.78","","May 8, 2023, 10:57 AM",
"04/07/2023","Invoice","2201","Oscar Winski Company","05/07/2023","$0.00","$5,387.53","","May 8, 2023, 10:57 AM",
"03/23/2023","Invoice","2160","Oscar Winski Company","04/22/2023","$0.00","$4,508.01","","Apr 10, 2023, 10:21 AM",
"03/21/2023","Invoice","2150","Oscar Winski Company","04/20/2023","$0.00","$3,774.38","","Apr 10, 2023, 10:19 AM",
"03/10/2023","Invoice","2128","Oscar Winski Company","04/09/2023","$0.00","$3,756.70","","Apr 10, 2023, 10:22 AM",
"03/08/2023","Payment","157836","Oscar Winski Company","","$0.00","$13,525.24","","Mar 8, 2023, 9:53 AM",
"03/08/2023","Deposit","","","","$0.00","$17,813.45","","Mar 8, 2023, 9:58 AM",
"02/28/2023","Invoice","2107","Oscar Winski Company","03/30/2023","$0.00","$5,191.45","","Mar 8, 2023, 9:53 AM",
"02/27/2023","Invoice","2094","Oscar Winski Company","03/29/2023","$0.00","$4,588.36","","Mar 8, 2023, 9:53 AM",
"02/10/2023","Invoice","2063","Oscar Winski Company","03/12/2023","$0.00","$3,745.43","","Mar 8, 2023, 9:53 AM",
