"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2022","4,904.70","4,904.70","4,904.70","4,904.70","","0.25%"
"04/26/2022","4,892.30","4,892.30","4,892.30","4,892.30","","0.56%"
"04/25/2022","4,864.90","4,864.90","4,864.90","4,864.90","","-3.87%"
"04/22/2022","5,060.60","5,060.60","5,060.60","5,060.60","","-1.56%"
"04/21/2022","5,140.80","5,140.80","5,140.80","5,140.80","","0.71%"
"04/20/2022","5,104.70","5,104.70","5,104.70","5,104.70","","-0.66%"
"04/19/2022","5,138.40","5,138.40","5,138.40","5,138.40","","0.16%"
"04/14/2022","5,130.40","5,130.40","5,130.40","5,130.40","","0.33%"
"04/13/2022","5,113.60","5,113.60","5,113.60","5,113.60","","0.11%"
"04/12/2022","5,108.00","5,108.00","5,108.00","5,108.00","","0.93%"
"04/11/2022","5,060.70","5,060.70","5,060.70","5,060.70","","-1.85%"
"04/08/2022","5,156.00","5,156.00","5,156.00","5,156.00","","0.26%"
"04/07/2022","5,142.80","5,142.80","5,142.80","5,142.80","","-0.56%"
"04/06/2022","5,171.80","5,171.80","5,171.80","5,171.80","","-0.97%"
"04/05/2022","5,222.60","5,222.60","5,222.60","5,222.60","","-0.14%"
"04/04/2022","5,229.80","5,229.80","5,229.80","5,229.80","","0.39%"
"04/01/2022","5,209.60","5,209.60","5,209.60","5,209.60","","0.68%"
"03/31/2022","5,174.30","5,174.30","5,174.30","5,174.30","","-0.47%"
"03/30/2022","5,198.80","5,198.80","5,198.80","5,198.80","","1.74%"
"03/29/2022","5,110.00","5,110.00","5,110.00","5,110.00","","-1.66%"
"03/28/2022","5,196.00","5,196.00","5,196.00","5,196.00","","-0.32%"
"03/25/2022","5,212.60","5,212.60","5,212.60","5,212.60","","-0.96%"
"03/24/2022","5,262.90","5,262.90","5,262.90","5,262.90","","0.61%"
"03/23/2022","5,230.80","5,230.80","5,230.80","5,230.80","","3.93%"
"03/22/2022","5,032.80","5,032.80","5,032.80","5,032.80","","-1.42%"
"03/21/2022","5,105.10","5,105.10","5,105.10","5,105.10","","-0.75%"
"03/18/2022","5,143.90","5,143.90","5,143.90","5,143.90","","-1.03%"
"03/17/2022","5,197.60","5,197.60","5,197.60","5,197.60","","0.58%"
"03/16/2022","5,167.80","5,167.80","5,167.80","5,167.80","","-0.14%"
"03/15/2022","5,175.10","5,175.10","5,175.10","5,175.10","","-0.38%"
"03/14/2022","5,194.80","5,194.80","5,194.80","5,194.80","","-2.52%"
"03/11/2022","5,329.00","5,329.00","5,329.00","5,329.00","","0.55%"
"03/10/2022","5,299.70","5,299.70","5,299.70","5,299.70","","0.88%"
"03/09/2022","5,253.70","5,253.70","5,253.70","5,253.70","","-3.04%"
"03/08/2022","5,418.30","5,418.30","5,418.30","5,418.30","","-1.59%"
"03/07/2022","5,505.70","5,505.70","5,505.70","5,505.70","","2.80%"
"03/04/2022","5,355.80","5,355.80","5,355.80","5,355.80","","3.55%"
"03/03/2022","5,172.40","5,172.40","5,172.40","5,172.40","","2.49%"
"03/02/2022","5,046.70","5,046.70","5,046.70","5,046.70","","1.64%"
"03/01/2022","4,965.30","4,965.30","4,965.30","4,965.30","","2.26%"
"02/28/2022","4,855.80","4,855.80","4,855.80","4,855.80","","0.32%"
"02/25/2022","4,840.40","4,840.40","4,840.40","4,840.40","","-0.49%"
"02/24/2022","4,864.40","4,864.40","4,864.40","4,864.40","","1.10%"
"02/23/2022","4,811.40","4,811.40","4,811.40","4,811.40","","-0.42%"
"02/22/2022","4,831.70","4,831.70","4,831.70","4,831.70","","0.48%"
"02/21/2022","4,808.40","4,808.40","4,808.40","4,808.40","","-0.09%"
"02/18/2022","4,812.50","4,812.50","4,812.50","4,812.50","","0.18%"
"02/17/2022","4,803.70","4,803.70","4,803.70","4,803.70","","0.04%"
"02/16/2022","4,801.90","4,801.90","4,801.90","4,801.90","","0.60%"
"02/15/2022","4,773.20","4,773.20","4,773.20","4,773.20","","0.29%"
"02/14/2022","4,759.50","4,759.50","4,759.50","4,759.50","","0.81%"
"02/11/2022","4,721.40","4,721.40","4,721.40","4,721.40","","-3.20%"
"02/10/2022","4,877.50","4,877.50","4,877.50","4,877.50","","1.16%"
"02/09/2022","4,821.60","4,821.60","4,821.60","4,821.60","","2.42%"
"02/08/2022","4,707.50","4,707.50","4,707.50","4,707.50","","0.06%"
"02/07/2022","4,704.90","4,704.90","4,704.90","4,704.90","","0.29%"
"02/04/2022","4,691.40","4,691.40","4,691.40","4,691.40","","0.30%"
"02/03/2022","4,677.20","4,677.20","4,677.20","4,677.20","","0.27%"
"02/02/2022","4,664.80","4,664.80","4,664.80","4,664.80","","0.51%"
"02/01/2022","4,641.30","4,641.30","4,641.30","4,641.30","","1.18%"
"01/31/2022","4,587.20","4,587.20","4,587.20","4,587.20","","-0.29%"
"01/28/2022","4,600.60","4,600.60","4,600.60","4,600.60","","-1.71%"
"01/27/2022","4,680.80","4,680.80","4,680.80","4,680.80","","-0.73%"
"01/26/2022","4,715.10","4,715.10","4,715.10","4,715.10","","1.00%"
"01/25/2022","4,668.60","4,668.60","4,668.60","4,668.60","","0.51%"
"01/24/2022","4,644.80","4,644.80","4,644.80","4,644.80","","-2.05%"
"01/21/2022","4,741.90","4,741.90","4,741.90","4,741.90","","-0.54%"
"01/20/2022","4,767.70","4,767.70","4,767.70","4,767.70","","1.72%"
"01/19/2022","4,687.20","4,687.20","4,687.20","4,687.20","","1.66%"
"01/18/2022","4,610.70","4,610.70","4,610.70","4,610.70","","0.15%"
"01/17/2022","4,603.60","4,603.60","4,603.60","4,603.60","","0.33%"
"01/14/2022","4,588.60","4,588.60","4,588.60","4,588.60","","-1.18%"
"01/13/2022","4,643.50","4,643.50","4,643.50","4,643.50","","-0.92%"
"01/12/2022","4,686.60","4,686.60","4,686.60","4,686.60","","2.25%"
"01/11/2022","4,583.60","4,583.60","4,583.60","4,583.60","","1.84%"
"01/10/2022","4,500.60","4,500.60","4,500.60","4,500.60","","-0.52%"
"01/07/2022","4,524.00","4,524.00","4,524.00","4,524.00","","0.78%"
"01/06/2022","4,488.80","4,488.80","4,488.80","4,488.80","","-1.11%"
"01/05/2022","4,539.20","4,539.20","4,539.20","4,539.20","","-0.03%"
