"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"05/25/2022","Invoice","1469","Rochester Iron & Metal","06/24/2022","$0.00","$9,135.05","","Jun 1, 2022, 9:26 AM",
"05/24/2022","Invoice","1466","Rochester Iron & Metal","06/08/2022","$0.00","$6,628.57","","Jun 1, 2022, 9:26 AM",
"05/18/2022","Payment","348580-67916","Rochester Iron & Metal","","$0.00","$8,042.85","","May 18, 2022, 8:53 AM",
"05/17/2022","Invoice","1453","Rochester Iron & Metal","06/16/2022","$0.00","$6,242.40","","May 25, 2022, 9:02 AM",
"05/10/2022","Invoice","1432","Rochester Iron & Metal","06/09/2022","$0.00","$8,042.85","","May 18, 2022, 8:53 AM",
"05/04/2022","Payment","","Rochester Iron & Metal","","$0.00","$12,087.75","","May 4, 2022, 8:42 AM",
"04/27/2022","Invoice","1388","Rochester Iron & Metal","05/27/2022","$0.00","$6,411.85","","May 4, 2022, 8:42 AM",
"04/27/2022","Invoice","1385","Rochester Iron & Metal","05/27/2022","$0.00","$5,675.90","","May 4, 2022, 8:42 AM",
"04/27/2022","Payment","","Rochester Iron & Metal","","$0.00","$29,859.85","","Apr 27, 2022, 9:38 AM",
"04/20/2022","Invoice","1372","Rochester Iron & Metal","05/05/2022","$0.00","$9,146.45","","Apr 27, 2022, 9:38 AM",
"04/20/2022","Payment","","Rochester Iron & Metal","","$0.00","$5,256.25","","Apr 20, 2022, 8:15 AM",
"04/19/2022","Invoice","1366","Rochester Iron & Metal","05/19/2022","$0.00","$9,618.75","","Apr 27, 2022, 9:38 AM",
"04/18/2022","Invoice","1363","Rochester Iron & Metal","05/18/2022","$0.00","$11,094.65","","Apr 27, 2022, 9:38 AM",
"04/14/2022","Invoice","1356","Rochester Iron & Metal","05/14/2022","$0.00","$5,256.25","","Apr 20, 2022, 8:15 AM",
"04/06/2022","Deposit","","Rochester Iron & Metal","","$0.00","$5,292.00","","Apr 6, 2022, 8:44 AM",
"04/06/2022","Payment","","Rochester Iron & Metal","","$0.00","$5,292.00","","Apr 6, 2022, 8:43 AM",
"03/30/2022","Deposit","","Rochester Iron & Metal","","$0.00","$9,201.70","","Mar 30, 2022, 8:19 AM",
"03/30/2022","Payment","","Rochester Iron & Metal","","$0.00","$9,201.70","","Mar 30, 2022, 8:18 AM",
"03/29/2022","Invoice","1306","Rochester Iron & Metal","04/28/2022","$0.00","$5,292.00","","Apr 6, 2022, 8:43 AM",
"03/23/2022","Invoice","1292","Rochester Iron & Metal","04/22/2022","$0.00","$9,201.70","","Mar 30, 2022, 8:18 AM",
"03/23/2022","Deposit","","Rochester Iron & Metal","","$0.00","$31,252.75","","Mar 23, 2022, 9:02 AM",
"03/23/2022","Payment","","Rochester Iron & Metal","","$0.00","$31,252.75","","Mar 23, 2022, 9:01 AM",
"03/16/2022","Invoice","1277","Rochester Iron & Metal","04/15/2022","$0.00","$6,643.93","","Mar 23, 2022, 9:01 AM",
"03/16/2022","Invoice","1275","Rochester Iron & Metal","04/15/2022","$0.00","$6,026.80","","Mar 23, 2022, 9:01 AM",
"03/15/2022","Invoice","1274","Rochester Iron & Metal","03/30/2022","$0.00","$10,028.19","","Mar 23, 2022, 9:01 AM",
"03/15/2022","Invoice","1273","Rochester Iron & Metal","03/30/2022","$0.00","$4,224.33","","Mar 23, 2022, 9:01 AM",
"03/14/2022","Invoice","1270","Rochester Iron & Metal","04/13/2022","$0.00","$4,329.50","","Mar 23, 2022, 9:01 AM",
"03/02/2022","Deposit","","Rochester Iron & Metal","","$0.00","$20,229.25","","Mar 2, 2022, 9:27 AM",
"03/02/2022","Payment","","Rochester Iron & Metal","","$0.00","$20,229.25","","Mar 2, 2022, 9:26 AM",
"03/02/2022","Invoice","1249","Rochester Iron & Metal","03/02/2022","$0.00","$1,919.35","","Mar 2, 2022, 9:26 AM",
"02/23/2022","Invoice","1226","Rochester Iron & Metal","03/25/2022","$0.00","$6,260.25","","Mar 2, 2022, 9:26 AM",
"02/23/2022","Deposit","","Rochester Iron & Metal","","$0.00","$24,750.60","","Feb 23, 2022, 8:56 AM",
"02/23/2022","Payment","","Rochester Iron & Metal","","$0.00","$24,750.60","","Feb 23, 2022, 8:56 AM",
"02/22/2022","Invoice","1225","Rochester Iron & Metal","03/24/2022","$0.00","$3,864.50","","Mar 2, 2022, 9:26 AM",
"02/22/2022","Invoice","1224","Rochester Iron & Metal","03/24/2022","$0.00","$8,185.15","","Mar 2, 2022, 9:26 AM",
"02/18/2022","Invoice","1219","Rochester Iron & Metal","03/20/2022","$0.00","$7,855.35","","Mar 14, 2022, 9:29 AM",
"02/16/2022","Invoice","1216","Rochester Iron & Metal","03/18/2022","$0.00","$7,651.08","","Feb 23, 2022, 8:56 AM",
"02/16/2022","Invoice","1214","Rochester Iron & Metal","03/18/2022","$0.00","$2,885.76","","Feb 23, 2022, 8:56 AM",
"02/16/2022","Deposit","","Rochester Iron & Metal","","$0.00","$7,855.35","","Feb 18, 2022, 8:35 AM",
"02/16/2022","Payment","","Rochester Iron & Metal","","$0.00","$7,855.35","","Mar 14, 2022, 9:29 AM",
"02/15/2022","Invoice","1212","Rochester Iron & Metal","03/02/2022","$0.00","$7,088.35","","Feb 23, 2022, 8:56 AM",
"02/14/2022","Invoice","1210","Rochester Iron & Metal","03/16/2022","$0.00","$7,125.41","","Feb 23, 2022, 8:56 AM",
"01/12/2022","Deposit","","Rochester Iron & Metal","","$0.00","$4,268.00","","Nov 16, 2022, 2:18 PM",
"01/12/2022","Payment","","Rochester Iron & Metal","","$0.00","$4,268.00","","Jan 12, 2022, 8:27 AM",
"01/07/2022","Invoice","1153","Rochester Iron & Metal","02/06/2022","$0.00","$4,268.00","","Jan 12, 2022, 8:27 AM",
"01/05/2022","Deposit","","Rochester Iron & Metal","","$0.00","$8,747.15","","Nov 16, 2022, 2:13 PM",
"01/05/2022","Payment","","Rochester Iron & Metal","","$0.00","$8,747.15","","Jan 5, 2022, 9:00 AM",
"12/30/2021","Deposit","","Rochester Iron & Metal","","$0.00","$14,098.75","","Dec 30, 2021, 7:54 AM",
"12/29/2021","Invoice","1136","Rochester Iron & Metal","12/29/2021","$0.00","$3,937.14","","Dec 29, 2021, 9:07 AM",
"12/29/2021","Invoice","1135","Rochester Iron & Metal","12/29/2021","$0.00","$10,161.61","","Dec 29, 2021, 9:03 AM",
"12/29/2021","Payment","1228202121","Rochester Iron & Metal","","$0.00","$14,098.75","","Dec 29, 2021, 9:07 AM",
"12/28/2021","Invoice","1133","Rochester Iron & Metal","01/12/2022","$0.00","$4,480.36","","Jan 5, 2022, 9:00 AM",
"12/27/2021","Invoice","1131","Rochester Iron & Metal","01/11/2022","$0.00","$4,266.79","","Jan 5, 2022, 9:00 AM",
"12/23/2021","Invoice","1126","Rochester Iron & Metal","01/07/2022","$0.00","$0.00","Voided","Dec 29, 2021, 8:59 AM",
