Yard Name,Commodity Name,Commodity Type,Material Name,Material Code,Status,Effective Date,Gross Weight,Net Weight,Tare,Cost,Customer Name,Outbound Ticket Id,Employee Name,Sales Order,Currency,Account Manager,Driver,Carrier Name,Trailer #,Export?,Freight Cost,Created Date,Last Updated,Custom Sequence,Sequence,Notes,bridge_contract_id,bol_id,origin_country,destination_country,port_code,hs_code,duty_usd,tax_pct,price_per_ton,price_per_lb,dedupe_key,created_at_utc,updated_at_utc
Winski Brothers,ALUMINUM,NON_FERROUS,CANS,Aluminum Cans,VOID,2025-08-18T09:22:29.775Z[UTC],12120,2420,9700,732.477,Werner & Son,182,Michelle Bright,,USD,, Werner/Mark,,,False,0.0,2025-08-18T09:23:28.723651Z[UTC],2025-08-18T09:39:49.676511Z[UTC],,,,,,,,,,,,605.3528925619835,0.3026764462809917,ee55d60de70f7d75084f3aaa5cf33e3671cb26c58a04a84c04c6226ca088e1b1,2025-08-18T09:23:28.723651Z,2025-08-18T09:39:49.676511Z
Winski Brothers,FERROUS,FERROUS,CLIPS,CLIPS,SHIPPED,2025-08-18T08:56:17.519Z[UTC],69480,24280,45200,-93414.3443,Mervis,181,Michelle Bright,,USD,,Ireland Trucking ,,,False,0.0,2025-08-18T08:56:54.332295Z[UTC],2025-08-18T10:02:37.113233Z[UTC],,,,,,,,,,,,-7694.756532125206,-3.847378266062603,d40f5493243b0ff2ad7f98e0c260b74cb697a7dd7f785497a8c53c5b0bac2d86,2025-08-18T08:56:54.332295Z,2025-08-18T10:02:37.113233Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-18T08:39:07.58Z[UTC],73660,32400,41260,2534.3412,Lewis Salvage Corp.,180,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-18T08:39:36.022809Z[UTC],2025-08-18T08:58:30.404641Z[UTC],,,,,,,,,,,,156.44081481481481,0.0782204074074074,739867d056125ac7db093fce3f6ce9b36bebd88918ceb729376615532604e6cb,2025-08-18T08:39:36.022809Z,2025-08-18T08:58:30.404641Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-08-15T14:05:05.358Z[UTC],67960,26920,41040,-265115.9878,Oscar Winski Company,179,Michelle Bright,,USD,,OW,,,False,0.0,2025-08-15T14:05:39.756207Z[UTC],2025-08-15T15:18:05.713955Z[UTC],,,,,,,,,,,,-19696.581560178307,-9.848290780089153,ff83649a4af80de73a5df0f2dcc5af1c7e5c5543c07b6407e9d337c02ef7da80,2025-08-15T14:05:39.756207Z,2025-08-15T15:18:05.713955Z
Winski Brothers,ALUMINUM,NON_FERROUS,Old sheet Aluminum,Old sheet Aluminum,SHIPPED,2025-08-15T12:39:45.188Z[UTC],60440,7420,53020,3196.9277,"Newco Metals, Inc",178,Michelle Bright,,USD,,Newco,,,False,0.0,2025-08-15T12:40:21.013828Z[UTC],2025-08-15T13:20:51.49028Z[UTC],,,,,,,,,,,,861.7055795148249,0.4308527897574124,3bafba20cc83992202002d4f3a471142396ccb4c13c6ef37914d4ace1c5ab2a0,2025-08-15T12:40:21.013828Z,2025-08-15T13:20:51.490280Z
Winski Brothers,FERROUS,FERROUS,5' HMS,5HMS,SHIPPED,2025-08-15T11:53:01.574Z[UTC],78280,41700,36580,3571.7945,DJJ/Nucor,177,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-15T11:53:54.854363Z[UTC],2025-08-15T13:01:36.719797Z[UTC],,,,,,,,,,,,171.3090887290168,0.0856545443645084,41c8cd66149cc17b51433aed91cedb37a40a224422f54a71f5519fc67539b708,2025-08-15T11:53:54.854363Z,2025-08-15T13:01:36.719797Z
Winski Brothers,FERROUS,FERROUS,CLIPS,CLIPS,SHIPPED,2025-08-15T10:39:05.422Z[UTC],71280,27160,44120,-104251.2624,Mervis,176,Michelle Bright,,USD,,Ireland Trucking,,,False,0.0,2025-08-15T10:40:03.526862Z[UTC],2025-08-15T11:40:37.70052Z[UTC],,,,,,,,,,,,-7676.823446244478,-3.8384117231222388,3fb0e014c4d0ff83226fd30a11ed88c2491ac7998da2c35467c639335d9045ea,2025-08-15T10:40:03.526862Z,2025-08-15T11:40:37.700520Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-15T08:29:13.529Z[UTC],68460,27160,41300,2114.5745,Lewis Salvage Corp.,175,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-15T08:30:06.849623Z[UTC],2025-08-15T08:30:06.849623Z[UTC],,,,,,,,,,,,155.7124079528719,0.07785620397643594,4d21094b6abb33ca750d9c0fc3e34839561f4aacd12f7f3c3823ba016c38d7a4,2025-08-15T08:30:06.849623Z,2025-08-15T08:30:06.849623Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-08-14T11:31:49.363Z[UTC],0,-50400,50400,496353.8554,Oscar Winski Company,174,Michelle Bright,,USD,,OW,,,False,0.0,2025-08-14T11:32:20.31839Z[UTC],2025-08-22T08:52:09.962058Z[UTC],,,,,,,,,,,,-19696.581563492065,-9.848290781746032,23481a2f3b572f4c064cf6f2d11c33ae3dd2e7c73031f3fbbae0883f6cf9f1a4,2025-08-14T11:32:20.318390Z,2025-08-22T08:52:09.962058Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-14T08:29:52.316Z[UTC],72960,31720,41240,2468.4129,Lewis Salvage Corp.,173,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-14T08:30:32.488023Z[UTC],2025-08-14T09:44:17.965063Z[UTC],,,,,,,,,,,,155.63763556116015,0.07781881778058007,e168afe9271c0ae5cb320ffd897d731ada8d1aac513810a0c500e72c5e3aaa94,2025-08-14T08:30:32.488023Z,2025-08-14T09:44:17.965063Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-13T13:07:04.921Z[UTC],72560,31480,41080,2447.2848,Lewis Salvage Corp.,172,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-13T13:08:14.003659Z[UTC],2025-08-13T13:33:37.452478Z[UTC],,,,,,,,,,,,155.48188055908514,0.07774094027954256,e80b285710619cf5ba200dfafe4a6528d8d5ccfe9500aa878c687907545aada4,2025-08-13T13:08:14.003659Z,2025-08-13T13:33:37.452478Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-13T08:08:12.572Z[UTC],72960,31640,41320,2460.3923,Lewis Salvage Corp.,171,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-13T08:09:10.838204Z[UTC],2025-08-13T09:29:13.270822Z[UTC],,,,,,,,,,,,155.52416561314791,0.07776208280657396,98f585d8436ee6fc56e3cf27b098a718fec1384f79e16b5e1adc52c7a875402b,2025-08-13T08:09:10.838204Z,2025-08-13T09:29:13.270822Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-12T12:18:51.215Z[UTC],77420,36280,41140,2823.7958,Lewis Salvage Corp.,170,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-12T12:19:27.533757Z[UTC],2025-08-13T08:18:08.968987Z[UTC],,,,,,,,,,,,155.66680264608598,0.07783340132304299,97aa78669d22ba3351d1e35d44a553159b88a18132e3a2f552d4f3beefde8b80,2025-08-12T12:19:27.533757Z,2025-08-13T08:18:08.968987Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-08-12T11:26:00.714Z[UTC],56380,17020,39360,-167617.9091,Oscar Winski Company,169,Michelle Bright,,USD,,OW,,,False,0.0,2025-08-12T11:26:29.85734Z[UTC],2025-08-12T12:16:28.126479Z[UTC],,,,,,,,,,,,-19696.581562867214,-9.848290781433606,465f0d4a5c134860305f6180599c790083f86b711c1638ea4d881911ea03a1cf,2025-08-12T11:26:29.857340Z,2025-08-12T12:16:28.126479Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-12T08:58:57.343Z[UTC],89620,48180,41440,3751.9386,Lewis Salvage Corp.,168,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-12T09:00:01.112333Z[UTC],2025-08-13T08:18:27.672056Z[UTC],,,,,,,,,,,,155.74672478206725,0.07787336239103362,e4cc346199fcc14d612c03dbfab4c3655cf2a4fc2d127067bfa2e7355a1d53a7,2025-08-12T09:00:01.112333Z,2025-08-13T08:18:27.672056Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-08T09:43:15.762Z[UTC],89620,48180,41440,3701.4038,Lewis Salvage Corp.,167,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-08T09:43:44.64384Z[UTC],2025-08-08T11:44:03.670266Z[UTC],,,,,,,,,,,,153.64897467828976,0.07682448733914488,264f797ff64c471acd0d2b0ea9b7c308b123ff584c2d4ef1a107df12318446ce,2025-08-08T09:43:44.643840Z,2025-08-08T11:44:03.670266Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-07T09:13:43.655Z[UTC],75460,34540,40920,2656.5407,Lewis Salvage Corp.,166,Michelle Bright,,USD,Jim Byers,RIM,,,False,0.0,2025-08-07T09:14:17.397177Z[UTC],2025-08-07T10:39:21.230969Z[UTC],,,,,,,,,,,,153.82401273885353,0.07691200636942676,adf6f13989beaab7e3f5d4512cfda8518ce7cb0762f7366d1a7a5ccf951677dd,2025-08-07T09:14:17.397177Z,2025-08-07T10:39:21.230969Z
