Date,Price,Open,High,Low,Vol.,Change %
10/18/2011,"1,547.05","1,557.45","1,558.30","1,519.15",,-0.67%
10/17/2011,"1,557.55","1,554.80","1,583.90","1,545.75",,0.25%
10/16/2011,"1,553.60","1,557.45","1,557.60","1,553.60",,-0.26%
10/14/2011,"1,557.60","1,537.10","1,563.85","1,530.15",,1.40%
10/13/2011,"1,536.05","1,552.75","1,557.60","1,527.30",,-0.92%
10/12/2011,"1,550.25","1,524.15","1,559.10","1,524.15",,1.63%
10/11/2011,"1,525.40","1,533.40","1,548.10","1,511.30",,-0.52%
10/10/2011,"1,533.35","1,500.70","1,542.30","1,498.40",,2.18%
10/9/2011,"1,500.70","1,498.45","1,503.00","1,490.45",,0.39%
10/7/2011,"1,494.85","1,522.55","1,543.40","1,486.30",,-1.82%
10/6/2011,"1,522.50","1,477.40","1,523.40","1,475.65",,3.05%
10/5/2011,"1,477.45","1,486.85","1,498.10","1,435.10",,-0.61%
10/4/2011,"1,486.45","1,509.25","1,513.90","1,450.50",,-1.76%
10/3/2011,"1,513.05","1,530.35","1,532.10","1,495.70",,-1.12%
10/2/2011,"1,530.20","1,530.05","1,535.45","1,518.55",,0.17%
9/30/2011,"1,527.60","1,535.05","1,547.65","1,504.85",,-0.48%
9/29/2011,"1,535.00","1,516.30","1,556.15","1,511.30",,1.24%
9/28/2011,"1,516.25","1,562.45","1,573.55","1,516.00",,-2.96%
9/27/2011,"1,562.50","1,562.80","1,594.80","1,555.90",,-0.02%
9/26/2011,"1,562.80","1,611.80","1,618.20","1,474.55",,-3.03%
9/25/2011,"1,611.55","1,630.95","1,630.95","1,611.55",,-0.19%
9/23/2011,"1,614.55","1,700.05","1,709.40","1,602.45",,-5.03%
9/22/2011,"1,700.05","1,764.95","1,765.25","1,680.75",,-3.68%
9/21/2011,"1,765.00","1,778.20","1,795.95","1,760.50",,-0.76%
9/20/2011,"1,778.50","1,776.10","1,790.45","1,766.00",,0.21%
9/19/2011,"1,774.70","1,822.25","1,827.80","1,767.65",,-2.53%
9/18/2011,"1,820.70","1,815.10","1,823.70","1,814.15",,0.33%
9/16/2011,"1,814.75","1,783.15","1,819.40","1,770.05",,1.77%
9/15/2011,"1,783.25","1,819.80","1,822.35","1,776.55",,-2.01%
9/14/2011,"1,819.75","1,818.25","1,830.95","1,807.15",,0.18%
9/13/2011,"1,816.55","1,816.85","1,831.50","1,804.50",,-0.03%
9/12/2011,"1,817.10","1,836.80","1,839.85","1,799.90",,-1.02%
9/11/2011,"1,835.80","1,833.00","1,853.25","1,828.35",,-0.06%
9/9/2011,"1,836.95","1,857.20","1,867.20","1,827.85",,-1.03%
9/8/2011,"1,856.05","1,829.50","1,867.35","1,827.50",,1.56%
9/7/2011,"1,827.50","1,862.00","1,864.45","1,815.65",,-1.75%
9/6/2011,"1,860.05","1,889.80","1,899.90","1,845.00",,-1.54%
9/5/2011,"1,889.05","1,886.40","1,893.65","1,870.75",,0.14%
9/4/2011,"1,886.50","1,887.45","1,891.65","1,875.95",,0.05%
9/2/2011,"1,885.55","1,853.60","1,888.45","1,846.90",,1.74%
9/1/2011,"1,853.35","1,849.95","1,858.25","1,842.20",,0.19%
8/31/2011,"1,849.75","1,852.60","1,860.45","1,836.45",,-0.10%
8/30/2011,"1,851.65","1,828.90","1,859.95","1,823.65",,1.24%
8/29/2011,"1,828.95","1,839.10","1,847.35","1,819.15",,-0.44%
8/28/2011,"1,837.05","1,836.70","1,839.45","1,820.65",,0.08%
8/26/2011,"1,835.65","1,822.60","1,835.65","1,809.35",,0.79%
8/25/2011,"1,821.35","1,822.50","1,833.80","1,789.10",,-0.05%
8/24/2011,"1,822.30","1,868.35","1,884.60","1,807.60",,-2.46%
8/23/2011,"1,868.35","1,917.45","1,918.35","1,861.55",,-2.56%
8/22/2011,"1,917.40","1,891.20","1,918.35","1,883.30",,1.38%
8/21/2011,"1,891.30","1,881.50","1,892.60","1,878.30",,0.62%
8/19/2011,"1,879.65","1,844.30","1,882.15","1,842.90",,1.91%
8/18/2011,"1,844.35","1,841.95","1,849.20","1,825.85",,0.06%
8/17/2011,"1,843.30","1,819.65","1,850.90","1,817.05",,1.22%
8/16/2011,"1,821.10","1,816.90","1,827.90","1,810.25",,0.24%
8/15/2011,"1,816.70","1,796.40","1,816.70","1,790.25",,1.13%
8/14/2011,"1,796.45","1,802.05","1,805.75","1,796.05",,-0.20%
8/12/2011,"1,800.00","1,793.00","1,808.20","1,790.60",,0.39%
8/11/2011,"1,793.00","1,777.25","1,796.15","1,773.60",,0.88%
8/10/2011,"1,777.30","1,756.55","1,778.70","1,747.75",,1.18%
8/9/2011,"1,756.50","1,715.70","1,761.95","1,708.55",,2.39%
8/8/2011,"1,715.55","1,717.70","1,732.45","1,709.40",,-0.16%
8/7/2011,"1,718.30","1,710.95","1,724.95","1,705.25",,-0.08%
8/5/2011,"1,719.70","1,720.15","1,722.50","1,682.25",,-0.13%
8/4/2011,"1,722.00","1,786.85","1,796.45","1,718.40",,-3.54%
8/3/2011,"1,785.20","1,797.10","1,802.55","1,775.35",,-0.78%
8/2/2011,"1,799.25","1,794.45","1,801.45","1,788.45",,0.26%
8/1/2011,"1,794.50","1,784.75","1,804.35","1,782.55",,0.52%
7/31/2011,"1,785.15","1,780.30","1,785.15","1,774.60",,0.12%
7/29/2011,"1,783.05","1,787.75","1,795.60","1,779.85",,-0.41%
7/28/2011,"1,790.45","1,795.75","1,797.95","1,779.85",,-0.33%
7/27/2011,"1,796.35","1,809.20","1,822.85","1,786.10",,-0.76%
7/26/2011,"1,810.05","1,793.90","1,812.95","1,771.45",,0.91%
7/25/2011,"1,793.80","1,800.55","1,803.55","1,782.20",,-0.37%
7/24/2011,"1,800.50","1,802.50","1,803.65","1,789.90",,0.16%
7/22/2011,"1,797.65","1,788.30","1,803.60","1,783.65",,0.55%
7/21/2011,"1,787.80","1,778.10","1,792.20","1,776.65",,0.45%
7/20/2011,"1,779.80","1,774.00","1,782.90","1,763.35",,0.26%
7/19/2011,"1,775.10","1,772.90","1,793.70","1,766.25",,0.13%
7/18/2011,"1,772.75","1,762.30","1,781.30","1,756.35",,0.63%
7/17/2011,"1,761.60","1,758.85","1,764.50","1,758.85",,-0.12%
7/15/2011,"1,763.70","1,771.35","1,773.00","1,750.80",,-0.33%
7/14/2011,"1,769.50","1,766.75","1,784.35","1,757.45",,0.22%
7/13/2011,"1,765.70","1,741.20","1,775.25","1,739.70",,1.40%
7/12/2011,"1,741.25","1,728.00","1,743.75","1,710.50",,0.76%
7/11/2011,"1,728.20","1,736.35","1,740.05","1,725.65",,-0.39%
7/10/2011,"1,734.90","1,740.85","1,742.25","1,724.30",,-0.16%
7/8/2011,"1,737.75","1,743.80","1,754.85","1,732.10",,-0.33%
7/7/2011,"1,743.50","1,734.15","1,749.45","1,724.35",,0.56%
7/6/2011,"1,733.80","1,738.15","1,750.35","1,724.40",,-0.26%
7/5/2011,"1,738.40","1,725.60","1,745.45","1,712.25",,0.74%
7/4/2011,"1,725.55","1,721.40","1,728.45","1,717.80",,0.22%
7/3/2011,"1,721.75","1,702.90","1,725.10","1,702.90",,-0.09%
7/1/2011,"1,723.35","1,723.95","1,726.80","1,704.80",,-0.01%
6/30/2011,"1,723.55","1,727.20","1,732.80","1,720.50",,-0.30%
6/29/2011,"1,728.70","1,700.15","1,735.10","1,699.40",,1.74%
6/28/2011,"1,699.20","1,688.95","1,703.55","1,685.00",,0.85%
6/27/2011,"1,684.85","1,685.45","1,696.20","1,668.85",,-0.23%
