Date,Price,Open,High,Low,Vol.,Change %
4/2/2012,655.9,654.3,666.3,653.9,,0.26%
3/30/2012,654.2,646.8,656.2,643.7,,1.13%
3/29/2012,646.9,648.8,655,641.7,,0.08%
3/28/2012,646.4,644.8,644.8,644.7,0.00K,-2.37%
3/27/2012,662.1,660,661,657,0.02K,-0.77%
3/26/2012,667.25,662.15,664.55,662.15,0.02K,1.34%
3/23/2012,658.4,659.6,659.65,659.6,0.00K,1.36%
3/22/2012,649.55,663,663,660.65,0.01K,-5.47%
3/21/2012,687.15,690.5,687.15,690.5,0.00K,-1.21%
3/20/2012,695.6,707.8,708.5,692.7,,-1.70%
3/19/2012,707.6,701.4,709,698.3,,0.81%
3/16/2012,701.9,707.1,708.2,697.7,,-0.92%
3/15/2012,708.4,689.55,695.75,689,0.02K,1.32%
3/14/2012,699.2,707.7,710.6,692.5,,-1.19%
3/13/2012,707.6,701.5,710.6,698,,0.69%
3/12/2012,702.75,703.55,704,703.55,0.00K,-0.77%
3/9/2012,708.2,702.5,702.5,702.5,0.00K,1.55%
3/8/2012,697.4,696.4,702.2,688.7,0.05K,1.45%
3/7/2012,687.4,668,688,667.3,,2.60%
3/6/2012,670,685,685,665.2,0.05K,-5.29%
3/5/2012,707.4,713.8,715.1,704.6,,-0.48%
3/2/2012,710.8,714.55,719.6,713,0.02K,-0.73%
3/1/2012,716,704.5,719.5,699.3,,1.32%
2/29/2012,706.65,719.95,721.95,700,0.37K,-2.34%
2/28/2012,723.6,705.1,725.5,703.5,,2.59%
2/27/2012,705.3,711.2,716.55,702.5,4.99K,-0.91%
2/24/2012,711.8,717.8,719.9,708.6,,-0.86%
2/23/2012,718,721.8,725.8,713.2,,-0.49%
2/22/2012,721.5,709.8,724.2,708.7,,1.66%
2/21/2012,709.7,695.7,714,694.5,,2.03%
2/20/2012,695.6,693.5,698.5,688.9,,1.41%
2/17/2012,685.9,696.7,699,685.6,,-1.52%
2/16/2012,696.5,683.7,698.8,676.9,,1.80%
2/15/2012,684.2,686.9,693.7,681.3,,-0.36%
2/14/2012,686.7,697.8,700.8,684,,-1.62%
2/13/2012,698,703.1,706.6,696.1,,-0.74%
2/10/2012,703.2,711.3,711.3,695.4,,-1.17%
2/9/2012,711.5,714.8,718.8,708.2,,-0.49%
2/8/2012,715,708.8,717,704.7,,0.89%
2/7/2012,708.7,705.2,710.1,696.2,,0.48%
2/6/2012,705.3,706.4,707.9,693.3,,-0.33%
2/3/2012,707.6,709.7,716,705,,-0.28%
2/2/2012,709.6,697.7,709.6,693.1,,1.72%
2/1/2012,697.6,685.3,698.9,684.4,,1.81%
1/31/2012,685.2,689.2,697,684.5,,-0.59%
1/30/2012,689.3,691.4,691.7,679.8,,-0.19%
1/27/2012,690.6,691,694.5,681.5,,-0.12%
1/26/2012,691.4,694.4,702,688.6,,-0.40%
1/25/2012,694.2,682.1,696.2,670.9,,1.76%
1/24/2012,682.2,688,690,670.4,,-0.86%
1/23/2012,688.1,673.8,689,673.8,,1.46%
1/20/2012,678.2,674.5,679.3,663.8,,0.44%
1/19/2012,675.2,667.9,682.8,667.1,,1.03%
1/18/2012,668.3,653,671,646,,2.36%
1/17/2012,652.9,642.1,663.7,642.1,,1.73%
1/16/2012,641.8,635.3,644.1,631.5,,0.31%
1/13/2012,639.8,635.4,640.9,623.6,,0.74%
1/12/2012,635.1,644.6,649,630.6,,-1.32%
1/11/2012,643.6,637.9,648.9,632,,1.05%
1/10/2012,636.9,619.5,645.2,619.5,,2.73%
1/9/2012,620,612.5,620.8,609.3,,0.63%
1/6/2012,616.1,639.7,642.4,612.6,,-3.79%
1/5/2012,640.4,649.7,657.6,635.8,,-1.46%
1/4/2012,649.9,664.9,668.1,646.1,,-2.24%
1/3/2012,664.8,656.6,671.3,651.4,,1.42%
1/2/2012,655.5,656.3,657.5,654.7,,-0.12%
12/30/2011,656.3,631.7,657.9,626.3,,3.91%
12/29/2011,631.6,636.9,639.1,622.1,,-1.13%
12/28/2011,638.8,662.6,667.2,631.6,,-3.65%
12/27/2011,663,658.5,668.8,651.8,,0.73%
12/26/2011,658.2,663.2,663.4,658.2,,-1.10%
12/23/2011,665.55,664.95,665.05,664.95,0.00K,2.01%
12/22/2011,652.45,632,650.8,632,0.00K,2.60%
12/21/2011,635.9,625.7,641.5,623.8,,1.48%
12/20/2011,626.65,622.45,622.45,622.45,0.01K,2.93%
12/19/2011,608.8,626,630,608.6,,-2.38%
12/16/2011,623.65,622.6,623.45,622.3,0.02K,0.78%
12/15/2011,618.85,614.7,615,614.6,0.01K,0.19%
12/14/2011,617.7,617.35,617.35,614,0.02K,-6.71%
12/13/2011,662.15,663.7,663.7,663.7,0.00K,0.17%
12/12/2011,661,655.6,655.6,655.6,0.00K,-3.53%
12/9/2011,685.2,674,688.7,660.7,,1.78%
12/8/2011,673.2,668.55,668.55,668.55,0.01K,-1.46%
12/7/2011,683.2,680,680.6,674.9,0.04K,2.18%
